second,Volt1,Volt2,Volt3,Volt4
-0.005,0.059519596,6.72E-02,4.90E-02,3.60E-02
-0.00499984,0.059519596,6.52E-02,4.90E-02,3.60E-02
-0.00499968,0.059519596,6.72E-02,4.90E-02,3.40E-02
-0.00499952,0.059519596,6.72E-02,4.90E-02,3.40E-02
-0.00499936,0.059519596,6.72E-02,4.90E-02,3.60E-02
-0.0049992,0.059519596,6.72E-02,4.90E-02,3.60E-02
-0.00499904,0.061529647,6.72E-02,4.90E-02,3.40E-02
-0.00499888,0.061529647,6.72E-02,4.90E-02,3.40E-02
-0.00499872,0.059519596,6.72E-02,4.90E-02,3.40E-02
-0.00499856,0.059519596,6.52E-02,4.90E-02,3.40E-02
-0.0049984,0.061529647,6.72E-02,4.69E-02,3.40E-02
-0.00499824,0.059519596,6.52E-02,4.90E-02,3.40E-02
-0.00499808,0.059519596,6.72E-02,4.90E-02,3.40E-02
-0.00499792,0.061529647,6.52E-02,4.90E-02,3.40E-02
-0.00499776,0.061529647,6.52E-02,4.69E-02,3.40E-02
-0.0049976,0.059519596,6.52E-02,4.90E-02,3.40E-02
-0.00499744,0.061529647,6.52E-02,4.90E-02,3.20E-02
-0.00499728,0.059519596,6.52E-02,4.69E-02,3.40E-02
-0.00499712,0.059519596,6.72E-02,4.90E-02,3.40E-02
-0.00499696,0.059519596,6.52E-02,4.90E-02,3.40E-02
-0.0049968,0.059519596,6.52E-02,4.69E-02,3.40E-02
-0.00499664,0.059519596,6.72E-02,4.90E-02,3.20E-02
-0.00499648,0.059519596,6.52E-02,4.69E-02,3.40E-02
-0.00499632,0.059519596,6.52E-02,4.90E-02,3.40E-02
-0.00499616,0.057509546,6.52E-02,4.69E-02,3.40E-02
-0.004996,0.059519596,6.32E-02,4.69E-02,3.40E-02
-0.00499584,0.059519596,6.32E-02,4.69E-02,3.40E-02
-0.00499568,0.059519596,6.52E-02,4.90E-02,3.20E-02
-0.00499552,0.057509546,6.52E-02,4.69E-02,3.40E-02
-0.00499536,0.059519596,6.52E-02,4.90E-02,3.20E-02
-0.0049952,0.059519596,6.52E-02,4.90E-02,3.40E-02
-0.00499504,0.059519596,6.52E-02,4.69E-02,3.40E-02
-0.00499488,0.059519596,6.52E-02,4.69E-02,3.40E-02
-0.00499472,0.059519596,6.52E-02,4.69E-02,3.40E-02
-0.00499456,0.057509546,6.52E-02,4.69E-02,3.20E-02
-0.0049944,0.057509546,6.52E-02,4.69E-02,3.40E-02
-0.00499424,0.059519596,6.52E-02,4.90E-02,3.40E-02
-0.00499408,0.059519596,6.52E-02,4.69E-02,3.40E-02
-0.00499392,0.059519596,6.52E-02,4.90E-02,3.20E-02
-0.00499376,0.059519596,6.52E-02,4.69E-02,3.20E-02
-0.0049936,0.057509546,6.52E-02,4.69E-02,3.20E-02
-0.00499344,0.059519596,6.52E-02,4.69E-02,3.20E-02
-0.00499328,0.059519596,6.32E-02,4.69E-02,3.20E-02
-0.00499312,0.059519596,6.32E-02,4.69E-02,3.20E-02
-0.00499296,0.057509546,6.32E-02,4.49E-02,3.20E-02
-0.0049928,0.057509546,6.52E-02,4.69E-02,3.40E-02
-0.00499264,0.059519596,6.32E-02,4.69E-02,3.20E-02
-0.00499248,0.057509546,6.32E-02,4.69E-02,3.20E-02
-0.00499232,0.059519596,6.32E-02,4.69E-02,3.20E-02
-0.00499216,0.057509546,6.52E-02,4.69E-02,3.40E-02
-0.004992,0.057509546,6.32E-02,4.69E-02,3.40E-02
-0.00499184,0.059519596,6.32E-02,4.90E-02,3.20E-02
